case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
linkedin-19.50.21,light,6,success,200,True,False,True,True,54.978,70.647
linkedin-19.50.21--scale-75,light,6,success,200,True,False,True,True,46.96,55.857
linkedin-19.50.21--scale-125,light,6,success,200,True,False,True,True,74.787,99.421
linkedin-19.50.21--jpeg-q65,light,6,success,200,True,False,True,True,47.421,58.67
linkedin-19.50.21--blur-0.8,light,6,success,200,True,False,True,True,52.924,63.648
linkedin-19.50.21--pad-40,light,6,success,200,True,False,True,True,55.15,56.009
linkedin-19.50.21--crop-12,light,6,success,200,True,False,True,True,52.123,59.174
linkedin-19.50.37,light,8,success,200,True,False,True,True,81.8,94.448
linkedin-19.50.37--scale-75,light,8,success,200,True,False,True,True,71.302,72.548
linkedin-19.50.37--scale-125,light,8,success,200,True,False,True,True,99.987,118.402
linkedin-19.50.37--jpeg-q65,light,8,success,200,True,False,True,True,81.939,101.857
linkedin-19.50.37--blur-0.8,light,8,success,200,True,False,True,True,90.512,107.989
linkedin-19.50.37--pad-40,light,8,success,200,True,False,True,True,87.157,119.868
linkedin-19.50.37--crop-12,light,8,success,200,True,False,True,True,93.046,113.436
linkedin-19.50.47,light,7,success,200,True,False,True,True,72.021,81.295
linkedin-19.50.47--scale-75,light,7,success,200,True,False,True,True,56.601,65.374
linkedin-19.50.47--scale-125,light,7,success,200,True,False,True,True,87.411,103.578
linkedin-19.50.47--jpeg-q65,light,7,success,200,True,False,True,True,76.969,102.623
linkedin-19.50.47--blur-0.8,light,7,success,200,True,False,True,True,69.49,79.951
linkedin-19.50.47--pad-40,light,7,success,200,True,False,True,True,79.06,98.428
linkedin-19.50.47--crop-12,light,7,success,200,True,False,True,True,80.738,95.317
linkedin-19.50.57,light,8,success,200,True,False,True,True,72.71,80.331
linkedin-19.50.57--scale-75,light,8,success,200,True,False,True,True,62.26,78.483
linkedin-19.50.57--scale-125,light,8,success,200,True,False,True,True,84.608,103.862
linkedin-19.50.57--jpeg-q65,light,8,success,200,True,False,True,True,68.107,76.734
linkedin-19.50.57--blur-0.8,light,8,success,200,True,False,True,True,74.986,88.786
linkedin-19.50.57--pad-40,light,8,success,200,True,False,True,True,78.871,89.64
linkedin-19.50.57--crop-12,light,8,success,200,True,False,True,True,74.42,84.785
linkedin-19.51.06,light,7,success,200,True,False,True,True,60.228,65.585
linkedin-19.51.06--scale-75,light,7,success,200,True,False,True,True,50.106,72.317
linkedin-19.51.06--scale-125,light,7,success,200,True,False,True,True,74.101,83.565
linkedin-19.51.06--jpeg-q65,light,7,success,200,True,False,True,True,58.789,70.651
linkedin-19.51.06--blur-0.8,light,7,success,200,True,False,True,True,64.529,69.764
linkedin-19.51.06--pad-40,light,7,success,200,True,False,True,True,69.999,90.758
linkedin-19.51.06--crop-12,light,7,success,200,True,False,True,True,65.399,89.037
linkedin-19.46.03,light,7,success,200,True,False,True,True,77.54,127.994
linkedin-19.46.03--scale-75,light,7,success,200,True,False,True,True,54.28,58.886
linkedin-19.46.03--scale-125,light,7,success,200,True,False,True,True,140.804,164.889
linkedin-19.46.03--jpeg-q65,light,7,success,200,True,False,True,True,70.789,75.723
linkedin-19.46.03--blur-0.8,light,7,success,200,True,False,True,True,77.492,93.741
linkedin-19.46.03--pad-40,light,7,success,200,True,False,True,True,112.399,125.314
linkedin-19.46.03--crop-12,light,7,success,200,True,False,True,True,70.366,79.487
linkedin-102225,light,8,success,200,True,False,True,True,55.887,62.177
linkedin-102225--scale-75,light,8,success,200,True,False,True,True,51.363,58.084
linkedin-102225--scale-125,light,8,success,200,True,False,True,True,65.967,78.577
linkedin-102225--jpeg-q65,light,8,success,200,True,False,True,True,59.414,77.353
linkedin-102225--blur-0.8,light,8,success,200,True,False,True,True,58.038,78.33
linkedin-102225--pad-40,light,8,success,200,True,False,True,True,55.749,58.349
linkedin-102225--crop-12,light,8,success,200,True,False,True,True,54.009,57.154
linkedin-102318,light,7,success,200,True,False,True,True,49.05,58.867
linkedin-102318--scale-75,light,7,success,200,True,False,True,True,45.395,60.648
linkedin-102318--scale-125,light,7,success,200,True,False,True,True,61.426,99.085
linkedin-102318--jpeg-q65,light,7,success,200,True,False,True,True,46.99,53.981
linkedin-102318--blur-0.8,light,7,success,200,True,False,True,True,52.055,56.678
linkedin-102318--pad-40,light,7,success,200,True,False,True,True,54.699,130.319
linkedin-102318--crop-12,light,7,success,200,True,False,True,True,63.052,131.577
blank-light,light,6,error,422,False,True,False,True,61.183,79.269
blank-dark,dark,6,error,422,False,True,False,True,43.073,64.945
